Input,Product,Quantity,Tags
• 4 hard cover composition notebooks,hard cover composition notebooks,4,
"• 3 plastic pocket folders with 3 metal prong fasteners (yellow , blue & green only)",plastic pocket folders,3,"blue,green"
• 1 clipboard,clipboard,1,
• Pack of 3 dry erase markers,dry erase markers,Multiple,Pack
• 2 Boxes of Kleenex,Kleenex,2,Boxes
• 4 Boxes of Crayons,Crayons,4,Boxes
"• 1 Pair of ""FISKARS"" scissors (BRAND NAME IS IMPORTANT)",scissors,1,Pair
• 1 Book bag,Book bag,1,
• 24 glue sticks,glue sticks,24,
• 3 Boxes of TICONDEROGA brand pencils (brand name is important),TICONDEROGA brand pencils,3,Boxes
• 3 containers of Clorox wipes (not baby wipes),Clorox wipes,3,containers
• 1 clear plastic zippered binder (storage) pouch,clear plastic zippered binder pouch,1,
• One 3 or 4 pack of Play Doh,Play,One,pack
"• 1 complete change of clothes (pants, shirt, socks and undies). Label with your child's name and send to school in a",complete change clothes Label,1,
Ziploc bag.,Ziploc bag,1,
• Boys- One box of gallon sized Ziploc bags,Boys One sized Ziploc bags,Multiple,"box,gallon"
• Girls — One box of sandwich sized Ziploc bags,Girls One sandwich sized Ziploc bags,Multiple,box
"• 3 Hi Liters —1 yellow, 1 pink, 1 green",Liters yellow pink,3,green
• 1 roll of paper towels or baby wipes,paper towels baby wipes,1,roll
