Input,Product,Quantity,Tags
th Grade Scho01
• (1) Three inch binder,inch binder,Three,
• (2 packs) Loose leaf paper,Loose leaf paper,1,
• (5) Subject dividers (for binder),Subject dividers,5,
• Pens (blue and black ink ONLY),Pens,Multiple,black
• Portable pencil sharpener,Portable pencil sharpener,1,
• Box of colored pencils,colored pencils,Multiple,Box
• (2) Boxes of tissues,tissues,Multiple,Boxes
• Hand sanitizer,Hand sanitizer,1,
• (2) Composition notebooks,Composition notebooks,Multiple,
• (2) Two -pocket folders,pocket folders,Two,
4
A =�
1 •
1
