Input,Product,Quantity,Tags
Middle Valley Elementary,Middle Valley,1,
Pdti
I ■ LATEST NEWS,LATEST NEWS,1,
2017-2018 MVE 2nd Grade Supply List
Posted On: 7/10/2017,Posted,2017,
XEROGRAPHIC COPY OF PAPER REAM (BULK) 3,XEROGRAPHIC COPY PAPER,3,REAM
WIDE RULE 8X10.5 FILLER PAPER 120CT 2 l�,WIDE RULE FILLER PAPER,1,
"CRAYOLA CRAYONS 24CT 2 ,✓�",CRAYOLA CRAYONS,2,
"7"" PRESHARPENED COLORED PENCILS 12CT 1",COLORED PENCILS,1,"7"""
EXPO2 LOW ODOR CHISEL TIP DRY ERASE MARKERS 4PK 2,LOW ODOR CHISEL TIP DRY ERASE MARKERS,2,
ASST PLASTIC SCHOOL BOX 8.5 X 5.75 X 2.5 1,ASST PLASTIC,1,BOX
PAPER TOWELS 85CT (BULK) 1 ✓°',PAPER TOWELS,1,
"1 EA OF 3X3 YELLOW STICKY NOTES 50CT 1 ✓'""�",STICKY NOTES,1,"EA,YELLOW"
"BLUNT 5"" FISKAR SCISSORS 1 1/",BLUNT FISKAR SCISSORS,1,"5"""
ovv.)&iCi--'y044
