Input,Product,Quantity,Tags
017-2018 SCHOOL SUPPLY
ee I n fo rm Updated 612/2017
atio listed,listed,1,
in the box below.
FOURTH GRADE
1— Ream Dual Purpose 20 wt. Paper (XeroxlComputer),Dual Purpose Paper,1,Ream
2 — Packages 300 ct. Standard Rule Computer) (500 ct.),Standard Rule Computer,2,Packages
Notebook Paper - Wide Rule (writing grade),Notebook Paper Wide Rule,1,
"5 - Plastic Folders with Brads & Pockets - blue, red, green ellow oran",Plastic Folders,5,green
48 - No. 2 Pencils - * Ticonderoga Brand Preferred 9 ' y ge,Pencils Ticonderoga Brand Preferred,48,
2 — Pink Erasers,Erasers,2,Pink
1- No. 24 Box Crayola Crayons Preferred,Crayola Crayons Preferred,1,Box
2 - Colored Pencils -12 count,Colored Pencils,2,
2 - Yellow Highlighters,Highlighters,2,Yellow
1-12 X18 White Construction Paper,Construction Paper,1,White
5 - Black Marble Composition Book,Marble Composition Book,5,Black
1- Large Elmer's Glue Sticks,Large Elmer Glue Sticks,1,
2 - Boxes Kleenex,Kleenex,2,Boxes
1- Container Lysol Wipes,Lysol Wipes,1,Container
1-- Black Tip Expo Markers chisel 4 pack),Tip Expo Markers chisel pack,1,Black
1- Elmer's Glue Bottle,Elmer Glue,1,Bottle
1- Pair of Scissors,Scissors,1,Pair
