Input,Product,Quantity,Tags
5th GRADE SUPPLY LIST
r OR CLASSROOM,CLASSROOM,1,
• 1 Package of black or blue ballpoint pens,ballpoint pens,1,"Package,black,blue"
• 1 Package of colored pens (for writing and editing),colored pens,1,Package
• 4 Glue sticks,Glue sticks,4,
• 1 Scissor,Scissor,1,
• 1 package of index cards 4x6,index cards,1,"4x6,package"
• 1 package of highlighters,highlighters,1,package
• 1 Student Daily Plan Book (MUST BE PURCHASED AT SCHOOL!),Daily Plan Book,1,
• 1 Notebook for writers journal (all other notebooks will be given in school),Notebook,1,
• 4 Pocket folders (plastic is preferred as they last longer),Pocket folders,4,
• 1 Package No. 2 pencils,pencils,1,Package
• 1 Box colored pencils,colored pencils,1,Box
• 1 Box of markers,markers,1,Box
• 1 Box of crayons,crayons,1,Box
• 1 large package of regular sized post it notes
• 1 box of dry erase markers,dry erase markers,1,box
• 2 Packages of loose leaf,loose leaf,2,Packages
• 2 package of construction paper or construction paper,construction paper construction paper,2,package
• 1 package or pad of white drawing,pad drawing,1,"package,white"
••
1 Pencil Case (soft),Pencil Case,1,
4 Book co (or book socks),Book,4,
"• C Paper"" 8 '/z by 11",Paper,11,
2 Reams of (Staples,Reams,2,
1 Flash Drive,Flash Drive,1,
• 2 paper Towel Rolls,paper Towel,2,Rolls
• 1 Containers of Lysol or Clorox Wipes,Lysol Clorox Wipes,1,Containers
• 2 Boxes of Tissues,Tissues,2,Boxes
2 packages of baby wipes,baby wipes,2,packages
• 1 gland sanitizer,gland sanitizer,1,
"""314 RO"
1 pa of baby wipes,baby wipes,1,
• 1 1 of pap towel,pap towel,1,
"• 1 package or pad  white paper (construction or water color, 9"" x 12"" or bigger)",pad paper,1,"9"",package,white"
