Input,Product,Quantity,Tags
PURCHASE ORDER,PURCHASE ORDER,1,
NAME AND ADDRESS of PURCHASER:,NAME AND ADDRESS PURCHASER,1,
Amazon Retail LLC,Amazon Retail,1,
410 Terry Avenue North,Terry Avenue North,410,
"Seattle, WA 98109",Seattle,98109,
USA
PURCHASE ORDER: REV:,PURCHASE ORDER REV,1,
79-00439240 1
SHIP TO:,SHIP,1,
Amazon Retail LLC,Amazon Retail,1,
4601 26th Ave NE,26th Ave,4601,
4601 26th Ave NE,26th Ave,4601,
"Seattle, WA 98105",Seattle,98105,
Attn: Daniel Perez,Attn Daniel Perez,1,
SUPPLIER:,SUPPLIER,1,
STAPLES.,STAPLES,Multiple,
DEPT SNA,DEPT,1,
PO BOX 415256
"BOSTON, MA 02241 5256",BOSTON 02241,5256,
Attn: Allison Dulaney,Attn Allison,1,
Allison.Dulanevna Staales.com,Allison,1,
Phone: +1 (253) 631-4485,Phone 631,4485,
SEND INVOICES TO:,SEND INVOICES,Multiple,
By Email: nonretail-invoicesna amazon.com,Email amazon,1,
Attn: Non -Inventory,Attn Non Inventory,1,
P.O. Box 80683
"Seattle, WA 98108-0683",Seattle 98108,0683,
United States,United States,Multiple,
ORDER DATE: PURCHASER TERMS: FOB / INCOTERMS:
CONTACT:,CONTACT,1,
"04/05/2017 Daniel Perez 1% 15, 60 NET",Daniel Perez NET,04,
(Derdanaamazon.com)
REVISED DATE: REVISED BY: SHIP METHOD: SHIP VIA:,REVISED DATE REVISED SHIP METHOD SHIP VIA,1,
SUPPLIER NUMBER: SUPPLIER CONTACT: FREIGHT:,SUPPLIER NUMBER SUPPLIER CONTACT FREIGHT,1,
Allison Dulaney -,Allison,1,
PLEASE FOLLOW THE INVOICE DOCUMENTATION REQUIREMENTS BELOW
FOR INQUIRIES EMAIL AP-NONINVENTORYnuAMAZON.COM
