Input,Product,Quantity,Tags
For School
• Binder with dividers,Binder,1,
• Loose-leaf paper,Loose leaf paper,1,
• 5 subject notebook with folder dividers,subject notebook,5,
• 2 marble notebooks,marble notebooks,2,
• 3 folders,folders,3,
• 10 shcct protectors,protectors,10,
• Package of graph paper,graph paper,Multiple,Package
• Post -it notes,Post notes,Multiple,
• Pencil sharpener with a lid,Pencil sharpener,1,
• Package of pencils,pencils,Multiple,Package
• Package of blue or black pens,pens,Multiple,"Package,blue,black"
• Box of tissues,tissues,Multiple,Box
• 2 different color highlighters,different color highlighters,2,
For Home
• Clea,Clea,1,
r contact pa per for wor'(Doo'Ks
• Ca 'cu ator
• 12 inc l ru er,inc,12,
• Inc ex ca rc s
• Scissors,Scissors,Multiple,
• _oose- ea )a )er
• Dictionary
• Flash drive,Flash drive,1,
• Ubrary care,care,1,
• Pos;-is
********** i. These� i:ems may
