middle School Supply List 2017-2018,middle 2017,2018
Social Studies
1 subject notebook',subject notebook,1
Pencils,Pencils,Multiple
Colored Pencils,Colored Pencils,Multiple
Loose Leaf Paper,Loose Leaf Paper,1
[3] 2 pocket folder,pocket folder,3
1 inch binder with dividers,inch binder,1
8th Grade
Composition notebook,Composition notebook,1
2 pocket folders,pocket folders,2
Highlighters,Highlighters,Multiple
pencils,pencils,Multiple
Colored pencils,Colored pencils,Multiple
13 subject notebook,subject notebook,13
/12
composition books,composition books,Multiple
highlighters,highlighters,Multiple
oose leaf paper,leaf paper,1
packs of Pencils (no lead),Pencils,Multiple
exas Instrument Calculator (cell phone use pr,Instrument Calculator,1
ibited)
Index cards,Index cards,Multiple
Ruler,Ruler,1
Protractor,Protractor,1
3 inch binder,inch binder,3
2 book covers,book covers,2
1 white board,board,1
White board markers/erasers,White board markers erasers,Multiple
Math:
English/Language Arts,English Language,1
1 composition book,composition book,1
[ 3 subject notebook./,subject notebook,3
White out
Highlighters,Highlighters,Multiple
thesaurus,thesaurus,1
Pocket dictionary w /,Pocket dictionary,1
Black or blue ink pens,Black ink pens,Multiple
Personal reading book
2 pocket folder,pocket folder,2
Index cards,Index cards,Multiple
Plastic Report Covers,Plastic Report Covers,Multiple
1 pack of white copy paper,pack copy paper,1
[1] 1 inch binder w/dividers,inch dividers,1
Science
Composition book,Composition book,1
[1] 3 subject notebook',subject notebook,1
Pencils/pens,Pencils pens,Multiple
Calculator (cell phone use prohibited),Calculator,1
3 plastic 2 pocket folders,plastic pocket folders,3
Looseleaf paper,Looseleaf paper,1
Highlighters,Highlighters,Multiple
Colored Index Cards (3x5),Colored Index Cards,Multiple
Colored Markers,Colored Markers,Multiple
*Stud unti September 25th to purchase supplies for classes.,Stud 25th purchase,1
*Students have P
". a.,;..,,rc for homeroom cleaniig supplies. (tissues, hand sanitizes"
