"--...-,�.. irvrVRMATi FOR R"
MUST HAVE PAIR OF GYM AT A TiMES a set in a,MUST HAVE PAIR GYM,Multiple
(tennis) SHO S AT SCHOOL
"MUST HAVE A PAIR OF HEADPHONES H & SOCKtnis Computer class, Ple"
clear plastic baggie with name clearly; for,clear plastic,1
PBUDS ers)
NO large notebook or 3 ring binge si on it' es ( er kee,large notebook ring binge,1
K -4th gra inclu trapp
NO pencil sharpeners or ever sharps teac K -8,pencil sharpeners ever sharps,8
"NO toys, games, radios, sport equ{e t, etcsu less permission is granted by"
a m
Preschool-Tri Fold M Q1V,Preschool Fold,1
Y -Please n° `,Please,1
KINDERGARTEN - Miss Garlisch
Items to be shared in class:
1 LARGE Box of Kleenext (200 ct),LARGE,1
Pencils (# 2 Lead w/eraser),Pencils,Multiple
Crayons (24) Crayola Brand - Please!!!!
Fat Markers (10ct) classic colors - Crayola Brand - Pleaselt!l
4 Glue Sticks & 1 Bottle of Glue,Glue Sticks Glue,4
2 Ream of 8 1/2 x 11 White Copy Paper,Ream White Copy Paper,2
1st GRADE - Miss Miller,Miss Miller,Multiple
Back Pack
Pencils (#2 Lead) 2 pks of 10,Pencils,10
2 Erasers (Ig Pink Pearl),Erasers,2
Washable Markers (8ct Crayola preferred),Washable Markers,Multiple
Crayons (16 ct),Crayons,Multiple
Colored Pencils (tall),Colored Pencils,Multiple
Watercolors,Watercolors,Multiple
3 Dry Erase Markers & eraser,Dry Erase Markers eraser,3
Scissors (Fiskar for children),Scissors,Multiple
2 Ream of 8 1/2 x 11 White Copy Paper,Ream White Copy Paper,2
Please label:,Please label,1
Book Bag or Back Pack
1 Folder with/ bottom pockets,Folder,1
Ruler (in. & cm.)',Ruler,1
6 Glue ticks & 2 Elmer's White 4oz glue,Glue ticks Elmer White glue,6
"1 plastic shoebox or basket (approx. 13""x7""x4"" -for storage",plastic basket,1
3 Plastic Bottom Pocket Folders (any color),Plastic Bottom Pocket Folders,3
3-2 pocket folders with prongs (any color),pocket folders,3
2-2 pocket folders (any color),pocket folders,2
2 Lg. Box Kleenex (200 Ct.),Kleenex,2
"1 pkg, Wet wipes",Wet wipes,1
1 box of gallon Ziplock bags,box Ziplock bags,1
1 roll of paper towels,roll paper towels,1
**Please put name on all items; before bringing to school**
