FIFTH & SIXTH GRADE
48 #2 penci s
6 composition books no: s Kira,composition books Kira,6
61:C sheets college-ru ed notebook paper,sheets college notebook paper,61
200 3 x 5 lines index yards,lines index yards,200
1 box of crayons - 24 or more,crayons more,1
3 pads of 3 x '3 sticky notes,pads sticky notes,3
1 Package a post-Ir_s ;about :./2 x,post,1
2 dry erase markers,dry erase markers,2
2 reams oo' printer per,reams printer,2
1 notebook pouch . penci s,notebook pouch,1
1 ruler - inch & centimeter,ruler inch centimeter,1
:. ca 3 anc pink erasers,erasers,Multiple
:. hand pcnci s iarpener wi:h id,hand,1
:. larce scissors,scissors,Multiple
ue ba yens,yens,Multiple
rec ball 301r y: yens
2 larc e boxes a' Kleenex,Kleenex,2
2 ye low his liters,low his liters,2
:. two-inch 211 -ring binder wi : 1 5 c ivic ers,two inch 211 ring binder,1
2 g ue sticks,sticks,2
:. backpack - wth chi c's name on i1:,backpack chi name,1
"Thank you,",Thank you,1
