••000 Sprint Wi-Fi 8:57 AM 1 $ 63% ®.,Sprint,000
Done TMS_School_Supply 17-18 (1).p...,Done,1
Trov CCSD 30-C
2017-2018 School Snooty List,Snooty,2017
Trov Middle School,Middle,1
Seventh & Eighth Grade
• 1 Inch 3 -Ring Binders (4),Inch Ring Binders,1
• Calculator (Texas Instrument TI -30X IIS),Calculator,1
• Package of Colored Markers( I),Colored Markers,Multiple
• Dry Erase Markers (I 4.pack),Dry Erase Markers,Multiple
• Zipper Pouch for Pencils (I),Zipper Pouch,1
• Divider Tabs - 5 subject (3)
• Pocket Folders (7) Plastic with prongs preferred for 7 Math
• Glue Sticks (2) - (2 packs),Glue Sticks,2
• Package of Multi -Colored highlighters (2),Multi Colored highlighters,Multiple
• Lined Index Cards (3x5) (2 packages of 100),Lined Index Cards,Multiple
• Loose Leaf Paper (5),Loose Leaf Paper,1
• Graph Paper (I),Graph Paper,Multiple
• Pink Emscr(I),Pink,1
• ((2 Pencils - Package of 24 (2),Pencils,4
• Colored Pencils - Package of 12 (11,Colored Pencils,12
• Black Pens (no gel)- Package of 12 (2),Black Pens gel,1
• Red Pens (no gel) - Package of 12 (2),Red Pens gel,1
• Scissors (II,Scissors,Multiple
• 3 -Subject Spiral Notebook (5),Subject Spiral Notebook,3
• I Composition Notebook,Composition Notebook,1
• Post It Notes (3 inch x 3 inch) (3 packs of asst. colors)
• Headphones,Headphones,Multiple
• Backpack (No Wheels),Backpack,1
• Gym Shoes (To 130 Kcpl At School) (No Wheels),Gym Shoes 130,Multiple
• Gym Suit (Purchased al Sharp Sports or Ken Woody),Gym Suit,1
• Gym Lock (Students may use Ioeks purchased from WBO orTMS),Gym Lock,1
;VOTES,VOTES,Multiple
• Some inns may nerd to he replenished or icedthmughaut the near. The classroom leacher lath
individual parents/guardians ax necessary to ask that replacement supplies are sent with the child. i
ALL supplies including indiru/sal items (much as pencils. markers. rte.).
"• The school is edways accepting donations of the items listed alai,. Three donations will be given to."
families that are nor ahk to provide these sillies. The school also stomps donations plusher /kW
use in the classroom. Please contact your building principal if you are able to help with a donation.
Le greatly appreciated!,greatly appreciated,1
I+1
