Grade 1 Studeri\Sopply List: 2017-2018,7,2018
Supply Name (description if neces ary) Quantity Lr child,Name Quantity child,1
#2 Pencils 124 count,Pencils 124,2
ored Pencils (1),Pencils,Multiple
rayo
liat1er3
Erasers,Erasers,Multiple
s Glue Sticks,Glue Sticks,Multiple
Marbiallotebooks
Colored Construction Paper,Colored Construction Paper,1
Plastic Folders,Plastic Folders,Multiple
Index Cards,Index Cards,Multiple
Tissues,Tissues,Multiple
Paper Towels,Paper Towels,Multiple
Baby Wipes,Baby Wipes,Multiple
Expo Markers (dry erase),Expo Markers,Multiple
i
I (1) 24 c
(1) l0c
3 largt Pink Pearl erasers,Pink Pearl erasers,3
(4)
(5) black
(1) p
assorted color,assorted color,1
(1) 100 count white
(3) large boxes — ____,large,Multiple
(2) rolls,rolls,Multiple
(1) packet
(2) 4 count black
See & Store Book Powch. .akeshore (1)
Reusable Write & Wipe — Lakeshore (1),Reusable Write Wipe,1
Children's Scissor �� (,Children Scissor,Multiple
Highlighter /,Highlighter,1
Ziploc (gallon),Ziploc,1
Ziptot Begs (sandwich),Begs,1
(1) single pen,single pen,1
(1) 48 count
(1) 48 count
