1st Grade:
72 #2 Denci s
Pair D uni: 1 D scissors,scissors,Multiple
6 Din Deve erasers,Din erasers,6
3 Doxes 2z. count: crayons,crayons,3
2z. c ue stic cs
Dott e E mer's ic uic g ue,mer,1
2 rec D astic . c ers wil:1 Drac s anc DOC <els
2 ye ow D astic 1 cers witi aracs anc Doc,Doc,2
"2"" ru er"
1 container anti bacteria wipes,container anti bacteria wipes,1
container land wi ( s on y,container land,1
1 box zi 3 oclk ga on bags (**boys on y**),bags,1
boxes tissues,tissues,Multiple
1 penci box
4 Expo dry erase markers,Expo dry erase markers,4
1 pack 12x18 manilla paper,pack paper,1
1 pack 9x12 manilla paper,pack paper,1
1 pack 9x12 colored construction paper,pack colored construction paper,1
