Full Day Kindergarten
8 wic .e c ry erase markers - black,erase markers,8
6 arge glue sticks,glue sticks,6
"2 dozen #2 ,encl s (s larpenec )",encl,2
4 l )oxes 24 regu ar crayons,oxes crayons,Multiple
"4 sturc y ,ocket 1h:.c ers (no fasteners)"
"1 l ,ox facia tissue",tissue,1
"1 ;,air gym s roes for ; lyslca eC .ucation c ays"
1 su;) ):.y)ox
)ox 8 c:.assic was: aa) e markers,markers,Multiple
1 s )ira note' gook X170- 00 pages),note gook pages,Multiple
2 : ug i ig Uers
",air 5-inc l b unt ti scissors",air inc scissors,Multiple
)air Zeac . ). iones or ear )uC .s,ear,1
art s iirt
")ox C ""'art or sanc wic i size Zi , oc ' )ags (gir s)",art size,1
"ox ga on size Zi ) oc ',ags ()oys)",size,1
