2 - 3 subject notebooks,subject notebooks,2
4 Marble composition notebooks,Marble composition notebooks,4
5 plastic folders (2 pockets),plastic folders,5
1 box (72 pencils) of #2 Dixon Ticonderoga p,Dixon Ticonderoga,1
1 box of Paper Mate or Bic (blue or black) pe,Paper Mate,1
1 1 box Crayola colored pencils,Crayola colored pencils,1
1 1 box Crayola crayons (24 pack),Crayola crayons,1
1 1 box Crayola markers,Crayola markers,1
It A ream (500 sheets) of white copy paper,ream copy paper,1
it 3 packs of loose-leaf paper (3 ring),pack loose leaf paper,1
t 2 thick glue sticks,thick glue sticks,Multiple
t 2 highlighters,highlighters,Multiple
t 1 pack of Expo Markers,pack Expo Markers,Multiple
t 1 pack of black Sharpies (regular tip),pack Sharpies,Multiple
t 1 box of Ziploc freezer gallon size,box Ziploc freezer size,1
t 2 Clorox Disinfecting wipes
t 1 bottle of Clorox Green Works,Clorox Green Works,Multiple
it 1 kitchen sponge 9- ^,kitchen sponge,9
t 1 pack of index cards (regular size),pack index cards,Multiple
t Post -its,Post its,1
t Anti -bacterial hand soap,Anti bacterial hand soap,1
t 2 boxes tissues,tissues,Multiple
t 2 rolls of paper towels,rolls paper towels,Multiple
t 2 rolls of Scotch tape
