1 List
Second Grade 2017 5u 100 Sheets,2017 100 Sheets,Multiple
1 2 black and white com•ositi .encilS ook- shar l,black and,1
1 2 dozen Dixon Ticondero #2 •encils,Dixon,1
1 1 package Bic Blue Pens,Blue Pens,1
11 package Bic Black Pens,Black Pens,11
11 package Bic Green Pens,Green Pens,11
11 box Paper Mate flair black markers,Paper Mate flair markers,11
1 box Crayola fat markers- box of o f 8 or 16,Crayola fat markers,1
11 box of Crayola colored pencils-,Crayola colored pencils,11
box
1 1 box Crayola crayons- box of 16,Crayola crayons,1
11 package baby wipes,baby wipes,11
12 Elmer's glue sticks- fat,Elmer glue sticks fat,12
11 pair of headphones- no earbuds,headphones earbuds,11
11 Fiskars scissor,scissor,11
11 ruler with inches AND centimeters,ruler,11
16 packs of post its 3x3- multiple colors,pack post its multiple colors,16
11 dry erase eraser,dry erase eraser,11
1 10 EXPO dy erase markers- thin black,EXPO erase markers thin,1
/ 1 package 3x5 index cards,index cards,Multiple
-
"/1 pencil supply box- approximately 2 1/4""H x 5 5/8""W x 8"
1
f 1 Scotch tape,Scotch tape,1
"1 2 4x6"" 40 count tip wired notebook",tip wired notebook,1
11 red plastic bottom pocket folder,plastic bottom pocket folder,11
11 orange plastic bottom pocket folder,plastic bottom pocket folder,11
I 1 yellow plastic bottom pocket folder,plastic bottom pocket folder,1
11 green plastic bottom pocket folder,plastic bottom pocket folder,11
1 blue plastic bottom pocket folder,plastic bottom pocket folder,1
11 box gallon sized Ziploc baqs,box sized Ziploc,11
Additional Supplies
Schombs/
Santoriello
1/4 inch binder,inch binder,1
with 1 package of
sleeves,sleeves,Multiple
