"'dear Parents,",dear Parents,Multiple
nee to the Wonderful
get o f f r ful wor
t a good 1d of Second
"Start, we are Grade! In order to"
Su D plies you e providin,plies you,Multiple
�h�idwrllne gyouwith
ed 'n the first d t of
6 � days of sch,days sch,6
b� ack marble notebooks,marble notebooks,Multiple
2 dz. ( Shar
pened pencils,pencils,Multiple
2 thin point dry s,thin point dry,2
erne markers,markers,Multiple
2 large erasers,large erasers,2
1 box of 24 ct. crayons y (Crayola brand su ested,crayons,1
4 heavy duty  99 �,heavy duty,4
folders (1 red  1,folders,Multiple
"4 large glue sticks yellow, 1 blue)",large glue sticks yellow blue,4
1 school scissor (Fiskar's suggested bra,scissor,1
nd)
and)
2 yellow highlighters,highlighters,2
2 black Sharpie markers,Sharpie markers,2
1 package of post it notes,post notes,1
2 boxes of tissues,tissues,2
1 paper towel roll,paper towel roll,1
1 box of baby wipes,baby wipes,1
1 coloring/ activity book and 16 crayons in 3 gallon ziplock b q,coloring activity book and crayons ziplock,1
(for use during rainy day lunches)
1 box of gallon size ziplock freezer bags (boys),box size ziplock freezer bags,1
1 box of quart size ziplock freezer bags (girls),quart size ziplock freezer bags,1
Pl erisp Inhpl (WI Y Inrnv_ itpm< with vni tr rkiId'c nnrno nnri nlcn
