aa000 7 -Mobile ? 6:27 PM 1 98 ®' 4,Mobile,4
montgomeryschoolsmd.org
Vr
Of 1 uggested School Supplies for 20162017
",rgyle Magnet Middle School",Magnet Middle,1
Have/Need
IRGYI
School Supblv
Y-3' 3ring binder,binder,1
Book bag (no wheels; must be able to flt Into a 91nch wide,Book bag,1
locker),locker,1
"Calculator: toe TI83,1189/TIMa for Algebra 1 or Honors",Calculator toe 1189,1
Geometry Is recommended but not mandatory
Colored pencils (no markers),Colored pencils,Multiple
Erasers,Erasers,Multiple
Highlighters,Highlighters,Multiple
Wide ruled loose leaf paper,Wide ruled loose leaf paper,1
Small pencil sharpener,Small pencil sharpener,1
22 pencils,pencils,22
Pencil pouch,Pencil pouch,1
Blue or black ball point Dens,Blue ball point Dens,1
sublett dividers. minimum of 8,dividers minimum,8
Nyde ruled composition notebook for an English loom.',ruled composition notebook,1
Wide ruled composition notebook fora meth journal
&several rolls of scotch tune
Wide ruled mmpostcn notebook fora scenes mama!,Wide ruled notebook scenes mama,Multiple
Wide ruled composition notebook fora Wand Studies,Wide ruled composition notebook Wand Studies,1
loumal
