"+y+ vauc ot,CAS"
"1 Plastic Supply Box 9"" X 6"" X 2""",Plastic,1
2 boxes 200 count Non -Scented Kleenex Tissues,200 Non Scented Kleenex Tissues,2
THIRD GRADE
Number Item,Number Item,1
24 #2 Pencils,Pencils,24
2 Red Pencils,Red Pencils,2
1 box 24 ct. Crayola Crayons,Crayola Crayons,1
"1 5"" Pointed Fiskar Scissors",Pointed Fiskar Scissors,1
2 Wide -ruled Composition Book (70 page),Wide ruled Composition Book,2
4 Spiral Notebooks,Spiral Notebooks,4
"1 pkg 9""X12"" Assorted Construction Paper -Loose",Assorted Construction Paper Loose,1
1 box Crayola Classic Broad -tip Washable Markers,Crayola Classic Broad tip Washable Markers,1
6 Pocket Folders w/ Brads -different colors,Pocket Brads different colors,6
1 Elmer's White Glue 8 oz.,Elmer White Glue,1
4 Glue Sticks,Glue Sticks,4
"1 Plastic Supply Box 9"" X 6"" X 2""",Plastic,1
"1 12"" Standard/Metric Ruler",Standard Metric Ruler,1
1 12 ct. Colored Pencils,Colored Pencils,1
2 200 ct. Wide -ruled Notebook Paper,Wide ruled Notebook Paper,2
"1 2"" 3 -Rind Binder (No Trapper Keeper)",Rind Binder,1
1 set Dividers with 8 Tabs,Dividers,1
2 boxes 200 count Non -Scented Kleenex Tissues,200 Non Scented Kleenex Tissues,2
