First G Supply List
Pleas,Pleas,Multiple
bring the fc� lloi�►�i
on• the first daV Of school
1 Book bag-,Book bag,1
• � No « heels,heels,Multiple
Soft pencil case- (No hard,Soft pencil case,1
• 6 black and white notebooks dplastic pencil cases please),black and notebooks pencil cases please,6
• 4 packagcas of 12 pencils,pencils,4
2 bases 01'24 shar,bases,2
• crayola cray,crayola,1
• 1 package of crayola marke,crayola,1
• 1 bottle of white school glue,glue,1
• 6 glue sticks,glue sticks,6
• 3 plastic folders,plastic folders,3
• 1 pencil sharpener (small enough to fit in their pencil case),pencil sharpener,1
Please bring the following throughout the first week of school:
• 2 tubs of baby wipes,tubs baby wipes,2
• 1 pair of blunt children's scissors,blunt children scissors,1
• 2 erasers,erasers,2
• 1 bottle of hand sanitizer,hand sanitizer,1
• 1 box of gallon zip lock bags,box zip lock bags,1
• 1 box of sandwich zip lock bags,sandwich zip lock bags,1
• 1 pack of copy paper (white or multicolor),pack copy paper,1
• 1 pack of white cardstock paper,pack paper,1
• 2 boxes of tissues,tissues,2
• 2 rolls ofpaper towels,rolls towels,2
• 1 pack of expo markers (black or multi -colored),pack expo markers,1
• 2 tuths of C:orox disinfectant wipes,disinfectant wipes,2
•
]. ro» of scotc.1 tape,tape,1
• 2 3 ac: c s: lac pie mar: {ers,lac pie mar,2
1
•
xxrc ar nvf DigtiAep t
