Clay Springs Elementary,Clay Springs,Multiple
1St Grade Supply List
2017-2018
"Parents,",Parents,Multiple
Please do not label any items with your child's name.
"1 Binder Y2"", 3 ring with clear view cover -White Only",Binder ring,1
2 packs Pencil Cap Erasers,pack Pencil Cap Erasers,2
2 boxes Crayola Crayons — 24 count,Crayola Crayons,2
"6 Elmer's Glue Stick, washable",Elmer Glue Stick washable,6
2 packs #2 Pencils -already sharpened,pack Pencils already sharpened,2
4 Pink Erasers,Pink Erasers,4
"1 Pencil Box, Plastic",Pencil Box Plastic,1
"1 Composition Book, Marble cover, Black, Wide, 100 sheets",Composition Book Marble cover Black Wide 100 sheets,1
"8 Expo Dry Erase Markers, Low Odor, Black, Fine Tip",Expo Dry Erase Markers Low Odor Black Fine Tip,8
"1 pair of Fiskars Scissors, for Kids, 5"" Blunt Tip",Scissors,1
1 Hand Sanitizer,Hand Sanitizer,1
1 box Facial Tissue,Facial Tissue,1
"1 box Ziplock storage bags, Zip, Gallon",box Ziplock storage bags Zip,1
"1 box Ziplock storage bags, Zip, Quart",Ziplock storage bags Zip Quart,1
