GRADE 5
DMERSETSCHOOL
ENT SUPPLY LIST 2017-15,2017,15
• 4.1111111.111.111...,111,4
• '2 yellow n.phynlers
• •2 packs of sharpened panda,pack sharpened panda,2
• 1 peck of pens (black. red. blue),peck pens,1
• Colored pench,Colored,1
• •24 Glue skits,Glue skits,24
"• 1 4 nch 3 ng bonder end ..,,..:.,..",bonder end,1
• 'Large pack of Posl.d nobs 3 s 3,Large pack,3
• •2 of loose-leaf whsle kited paper (for binder),loose leaf kited paper,2
• 2 jumbo or extra-lerge book coven,jumbo extra book coven,2
• • 1 pack of Expo markers One bp),pack Expo markers One,1
• 3.ong pence pouch (for bonder),pence pouch,3
• Sensors,Sensors,Multiple
• 1 black and wnl compoeiepn book,and book,1
• L pocket folders 11 for Health),pocket folders,Multiple
• L mole subtect spaal . . . (1 wit W mod for Health),mole,1
"• Sneakers for Phylul ••..--""—",Sneakers,Multiple
• One Conch 3 nng binder for Spanish,One Conch binder,1
• Earbuds,Earbuds,Multiple
"may need to M ..,.:...:.:....: throughout the Khoo) year. Parents m",year Parents,Multiple
e ere wort
