6724 CADE Sv LT
- 24 #2 Pencils,Pencils,24
- 1 Box of Pens (Blue or Black ink),Pens,1
- Ex tea Erasers,tea Erasers,Multiple
- 5 Folders (1 per Subject),Folders,5
- 5 Composition Notebooks (1 per Subject),Composition Notebooks,5
- 1 Homework Pad,Homework Pad,1
- Crayons,Crayons,Multiple
- Colored Pencils,Colored Pencils,Multiple
- Sciccors
- 3 x 5 Index Cards,Index Cards,3
- Glue Stick,Glue Stick,1
- Pencil Case,Pencil Case,1
- 1 Pack of Loose Leaf Paper,Pack Loose Leaf Paper,1
- Highlighters,Highlighters,Multiple
` 1 Pack of D,Pack,1
' 1 Bottle of � Erase Markers,Erase Markers,1
Hand H° Sanitizer,Hand Sanitizer,1
_ 1 Box of T
` 1 Roll of P,Roll,1
Per Towels
"1 Great Attitude,",Great Attitude,1
