"ET_[f![1'CC wtTNOt'T CICIil ES '.""d1 LCI Vay 1 L.1 1LIUI GU 1 `-t LV 1"
Personal Student Supplies: Write name or initials on a I I,Write name initials,Multiple
1 1 inch 3 ring binder - BLACK,inch ring binder BLACK,1
1 1 inch 3 ring binder - WHITE,inch ring binder WHITE,1
1 1 inch 3 ring binder - RED,inch ring binder RED,1
1 1 1/2 inch 3 ring binder - dark blue/navy,inch ring binder dark blue navy,1
3 Packs of Pencils (pre -sharpened preferred),Pencils,3
1 Pack of colored pencils,Pack colored pencils,1
1 Child safety scissors,Child safety scissors,1
4 2 Pocket Folder Green/Yellow/Blue/Any Style (no fasteners),Pocket Folder Green Yellow Blue Any Style,4
2 Spiral notebooks,Spiral notebooks,2
1 Zippered pencil pouch (Clear front preferred),Zippered pencil pouch,1
4 Writing Composition Notebook (non -spiral) Bring 2 to school.
Below are items that do not need to be labeled.
3 Packs of Pencils (pre -sharpened preferred),Pencils,3
1 Package of glue sticks,glue sticks,1
3 Packs of wide ruled notebook paper,wide ruled notebook paper,3
2 Boxes of Kleenex,Kleenex,2
2 Packs of Red and Blue pens,Red and Blue pens,2
"2 Boxes of plastic cutlery (spoons, forks, knives)",plastic cutlery,2
1 Lysol wipes,Lysol wipes,1
1 Either 1 box of quart size bags or sandwich bags,Either quart size bags sandwich bags,1
1 Pack of Dry erase markers (skinny or thick) and a sock,Pack Dry erase markers and sock,1
1 Pack of napkins and/or paper plates,Pack napkins and paper plates,1
"Wish List: Treasure box items, individually wrapped candy, colored"
"copy paper, construction paper",copy paper construction paper,1
