"••°, 9 XFINITY Mobile 11:15 AM * 28% 1 )",Mobile,9
seven-oak.lebanon.k12.or.us,seven oak,Multiple
Lebanon Community Schools,Lebanon Community,1
Seven Oak Middle School,Seven Oak Middle,Multiple
1541) 451.1411 • Fast . 1541) 4514431,Fast 4514431,451
440 Cascade Ortre • Leeson. ON 47366,Cascade 47366,440
Supply List for Graeae i 7 and $
r Woke - NO ZIPPERS,Woke ZIPPERS,Multiple
boll Pelee Pens - 3 beck or blue
c.:-. pencils - 34 we,pencils,Multiple
warblers -.rwod bp,warblers,Multiple
Erasers -'waft Ik - - - 3,Erasers waft,3
Okra suds - 3,Okra suds,3
11 were -:,were,11
ar.rare motors -4,rare motors,4
Msciswrkal Pencil - MM see A7 Nal - $,Pencil see,1
Neal w ollsr0ena,Neal,1
heti
W s+ - NOM lades w as L-.ars,lades,Multiple
Samos
";as NNotscarda - 2 pod, 0103",pod,0103
"Net- _7, dearer with tab",Net dearer,1
grab _ - - 3,grab,3
Portfolio garb = s - 3,Portfolio garb,3
tan soak,soak,1
"iron der - (4 and 7• grade -1, r rode - 3)",iron,1
_la - seek -- 10,seek,10
"d""• - f.r.naven4.ta 71 Kalb",Kalb,1
u$. Risk drive,Risk drive,1
'arstwol on.ordtlur
--
Ti IMreereers Muss seed earn
- Can pi er -1 rears
• Pedal tissue - beau,Pedal tissue beau,1
• Clonal aim,Clonal aim,1
Needed ss Woe,Needed Woe,1
•ever
fader,fader,1
