15 GLUE STICKS,GLUE STICKS,15
1130X OF CRAYONS t16 OR 24),CRAYONS,24
1. BOX OF COLORED PENCILS,COLORED PENCILS,1
1. RED PENCIL OR PEN,RED PENCIL PEN,1
2 BOXES OF TISSUES,TISSUES,2
5100 PAGE MARBLE COMPOSITION NOTEBOOKS,PAGE MARBLE COMPOSITION NOTEBOOKS,5100
(NOT SPIRAL)
1 i-1IGHLUGHTER
GIRtS:1 BOX GALLON SLIDE LOCK BAGS,BOX SLIDE LOCK BAGS,1
ACCORDION FOLDER (EXPANDABLE) WITH AT LEAST 12,ACCORDION FOLDER WITH LEAST,12
2 CONTAINERS OF CLEANING WIPES,CONTAINERS CLEANING WIPES,2
*INDIVIDUAL TEACHERS MAY HAVE SPECIFIC REQUESTS
1 PAIR OF SCISSORS - LARGE SIZE,SCISSORS LARGE SIZE,1
EARBUDS (1 PAIR) -NO HEADPHONES PLEASE,EARBUDS HEADPHONES PLEASE,Multiple
1 PKG WIDE LOOSE LEAF PAPER,WIDE LOOSE LEAF PAPER,1
30 #2 PENCILS PRESHARPENED PREFERRED,PENCILS PREFERRED,30
2 PKS. OF 4X6 WHITE INDEX CARD,WHITE INDEX CARD,2
4 DRY ERASE MARKERS (LOW ODOR),DRY ERASE MARKERS,4
ZIPPER PENCIL POUCH,ZIPPER PENCIL POUCH,1
BOYS: 1 BOX QUART SLIDE LOCK BAGS,BOYS QUART SLIDE LOCK BAGS,Multiple
DIVIDERS - PREFER ZIPPER AROUND OUTSIDE
1 REGULAR HAND SANITIZER (12 OZ),REGULAR HAND SANITIZER,1
