JAMES H. BOYS IN r ERMEEIA TE SCHOOL,JAMES BOYS,Multiple
Grade Supply List 2017-2018,7,2018
10 single subject spiral notebooks (labeled with child's name),single subject spiral notebooks,10
"1 package of loose leaf paper, wide ruled (labeled with child's name)",loose leaf paper wide ruled,1
4 packages of sharpened #2 pencils (labeled with child's name),sharpened pencils,4
1 pair of scissors,scissors,1
1 package of markers or colored pencils,markers colored pencils,1
1 package pens (black ink),pens,1
1 pencil case,pencil case,1
"8 two -pocket folders - assorted colors (red, blue, green, yellow, purple, orange, etc.",two pocket folders assorted colors,8
OR an accordion folder and 2 (2) pocket folder,accordion folder and pocket folder,1
1 pencil sharpener,pencil sharpener,1
2 packages of baby wipes,baby wipes,2
1 package of red pens for grading,pens,1
2 highlighters,highlighters,2
2 glue sticks,glue sticks,2
2 package of index cards (lined),index cards,2
2 packages of post -its,post its,2
1 marbled notebook (to use as an agenda),marbled notebook,1
1 (writer's) marbled notebook (decorated with pictures),writer marbled notebook,1
es)
1 4 -pack dry eraser markers,pack dry eraser markers,1
2 boxes of tissues,tissues,2
1 Pair of earbuds (not headphones),earbuds,1
"*A P'nhv r• r•......1. /: w ...:1, c. _"
